Video Name,Video URL,Asset Type,Created At
"Napkin AI for Degree & MBA Graduate productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Napkin_Intro/71a48507c9064c7a9aa947b3dc83b7f4.mp4","video","2026-06-30T07:03:26.387529"
"Heygen AI for sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/HeyGen_Intro/c356ad8509994adf8313f0340ca9ba58.mp4","video","2026-06-30T07:04:32.200908"
"Heygen AI for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/HeyGen_Intro/87867f603c8e4bf0a4cdaac4beda8f9e.mp4","video","2026-06-30T07:04:14.145712"
"Grammarly for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/2cc941e6dd3d479295e5c1926e31db6b.mp4","video","2026-06-30T07:07:47.173682"
"Grammarly for Professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/71cebb695e0b45bb9fd08519671ee494.mp4","video","2026-06-30T07:07:34.378495"
"Grammarly for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/e8bd3338937845198470eccdde62aec1.mp4","video","2026-06-30T07:07:22.363322"
"Grammarly for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/f63bf670f898422eb12c3c04cee4cfa7.mp4","video","2026-06-30T07:07:09.261429"
"Grammarly for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/45732f3c71054f2ab74860ede4063cc5.mp4","video","2026-06-30T07:06:58.081650"
"Grammarly for Business Worflow Automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Grammarly_Intro/49d59e47d91540b6a9643654854a8adf.mp4","video","2026-06-30T07:06:44.542949"
"Gemini for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/5acbbce7aab742caa6d52e8dcb20e018.mp4","video","2026-06-30T07:09:59.160410"
"Gemini for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/f985b02f9863484b91c9b024eb76c955.mp4","video","2026-06-30T07:09:36.159067"
"Gemini for Professionals","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/d6e1e0de0e9549619f28b18436046e52.mp4","video","2026-06-30T07:09:24.881298"
"Gemini for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/a2fe8a82c4af42aea608259062b37042.mp4","video","2026-06-30T07:09:13.420109"
"Gemini for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/44247c280ba84fa4a5dffa5514623c41.mp4","video","2026-06-30T07:09:02.570550"
"Gemini for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/7d9bde61c2ae42bea5f881a87be61ab4.mp4","video","2026-06-30T07:08:50.401096"
"Gemini for Earnings","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/06e4ab312f43459881647cc9ce6ab783.mp4","video","2026-06-30T07:08:40.852505"
"Gemini for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/66f76620b3b84738a8b16cb7c5222ac3.mp4","video","2026-06-30T07:08:29.329603"
"Gemini for Business Workflow Auomation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Gemini_Intro/bd62595e45ec47fa8dd6fc06a79c1368.mp4","video","2026-06-30T07:08:20.932833"
"Huntr Job AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Huntr_Intros/5fd64cb1a9b84efb81452dc33ae1e36b.mp4","video","2026-06-30T07:05:15.797580"
"Instantly AI for Sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Instantly_Intros/eff2ce68bfa24f4fabe9b302b998e780.mp4","video","2026-06-30T07:11:06.328299"
"Bolt AI For Earning Focused AI","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Bolt_Intros/e01c559d5d4e42ef8682555f9486fc0c.mp4","video","2026-06-30T07:11:57.792859"
"Bolt AI For AI for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Bolt_Intros/0587036ecb7b43bb83083e644e56949d.mp4","video","2026-06-30T07:11:46.549819"
"canva for Marketing","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/c4455245abb54a94bf68ecc4dd3486a2.mp4","video","2026-06-30T07:14:46.719498"
"Canva for white collar executive","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/efc50903f8b8488fa8b12941009f39c3.mp4","video","2026-06-30T07:14:37.332718"
"Canva for sales","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/50990fb93830495db730395d534d21c6.mp4","video","2026-06-30T07:14:25.452957"
"Canva for Job and Career Planning","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/4832982b31f743c4a4619e998f7d670f.mp4","video","2026-06-30T07:14:14.866317"
"Canva for Business workflow automation","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/ea0f24cc8de6470f85c164d147551f3e.mp4","video","2026-06-30T07:14:05.343937"
"Canva for Mini App Making","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/c3741b644fef4e22862974d11bbc2570.mp4","video","2026-06-30T07:13:53.500124"
"Canva for Degree and MBA Graduate Probability","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/22efff3a055145dc82d522f70b51b8b0.mp4","video","2026-06-30T07:13:41.862605"
"Canva for Earning and Focused","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/33a60e76de3b48db81b246b2e4e02b4b.mp4","video","2026-06-30T07:13:29.582743"
"Canva for Teachers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/Canva_Intros/dec1fabe7a7d4d7ea08031ea1f2a9b6d.mp4","video","2026-06-30T07:13:16.134223"
"ElevenLabs for Earning Focused","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/11d79347ec314ce0975cfd7f20c251da.mp4","video","2026-06-30T07:18:12.439613"
"ElevenLabs for Techers","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/e3e351e3983b48fd927677aa0f2be7e4.mp4","video","2026-06-30T07:17:53.698616"
"ElevenLabs for Degree and MBA Graduate Productivity","https://lms.capoasis.comhttps://pub-0654df1c093a4227bbda6ccde6e92462.r2.dev/capoasis/ElevenLabs_Intros/19a56c4d13a8405e8180d9aab4fb3fb6.mp4","video","2026-06-30T07:17:39.929739"
